vehicle_id,engine_index,engine_descriptor,engine_cylinders,engine_displacement,turbocharger,fuel_type,fuel_type_1,alternative_fuel_technology,ghg_score,ghg_score_alt_fuel
6529,26011.0,(FFS),4.0,1.6,,Regular,Regular Gasoline,,-1.0,-1.0
6407,26001.0,(FFS),4.0,1.5,,Regular,Regular Gasoline,,-1.0,-1.0
6408,26001.0,(FFS),4.0,1.5,,Regular,Regular Gasoline,,-1.0,-1.0
6409,26011.0,(FFS),4.0,1.6,,Regular,Regular Gasoline,,-1.0,-1.0
6410,26002.0,(FFS),4.0,1.5,,Regular,Regular Gasoline,,-1.0,-1.0
6411,26002.0,(FFS),4.0,1.5,,Regular,Regular Gasoline,,-1.0,-1.0
6918,26001.0,(FFS),4.0,1.5,,Regular,Regular Gasoline,,-1.0,-1.0
6919,26001.0,(FFS),4.0,1.5,,Regular,Regular Gasoline,,-1.0,-1.0
6920,26011.0,(FFS),4.0,1.6,,Regular,Regular Gasoline,,-1.0,-1.0
6921,26011.0,(FFS),4.0,1.6,,Regular,Regular Gasoline,,-1.0,-1.0
6530,26031.0,(FFS) 2 barrel carb,4.0,2.0,,Regular,Regular Gasoline,,-1.0,-1.0
6532,26032.0,(FFS) fuel injection,4.0,2.0,,Regular,Regular Gasoline,,-1.0,-1.0
6534,26033.0,(FFS),4.0,2.1,,Regular,Regular Gasoline,,-1.0,-1.0
6531,26031.0,(FFS) 2 barrel carb,4.0,2.0,,Regular,Regular Gasoline,,-1.0,-1.0
6533,26032.0,(FFS) fuel injection,4.0,2.0,,Regular,Regular Gasoline,,-1.0,-1.0
6535,26033.0,(FFS),4.0,2.1,,Regular,Regular Gasoline,,-1.0,-1.0
6536,26540.0,(FFS)      (MPFI),4.0,1.5,,Regular,Regular Gasoline,,-1.0,-1.0
6537,26540.0,(FFS)      (MPFI),4.0,1.5,,Regular,Regular Gasoline,,-1.0,-1.0
6538,26540.0,(FFS)      (MPFI),4.0,1.5,,Regular,Regular Gasoline,,-1.0,-1.0
6828,26520.0,(FFS)      (MPFI),4.0,2.4,,Regular,Regular Gasoline,,-1.0,-1.0
6830,26530.0,(FFS)      (MPFI),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
6829,26520.0,(FFS)      (MPFI),4.0,2.4,,Regular,Regular Gasoline,,-1.0,-1.0
6545,38030.0,(FFS),6.0,3.0,,Premium,Premium Gasoline,,-1.0,-1.0
6831,38040.0,(GUZZLER)  (FFS),8.0,4.5,,Premium,Premium Gasoline,,-1.0,-1.0
7335,29085.0,(FFS),4.0,2.3,,Regular,Regular Gasoline,,-1.0,-1.0
7336,29086.0,(FFS),4.0,2.6,,Regular,Regular Gasoline,,-1.0,-1.0
7408,29091.0,(FFS),4.0,2.6,,Regular,Regular Gasoline,,-1.0,-1.0
6543,29030.0,"(FFS,TRBO)",4.0,1.6,True,Premium,Premium Gasoline,,-1.0,-1.0
6542,29020.0,(DOHC)     (FFS),4.0,1.6,,Regular,Regular Gasoline,,-1.0,-1.0
6544,29020.0,(DOHC)     (FFS),4.0,1.6,,Regular,Regular Gasoline,,-1.0,-1.0
7003,29081.0,(FFS),4.0,2.6,,Regular,Regular Gasoline,,-1.0,-1.0
7002,29080.0,(FFS),4.0,2.3,,Regular,Regular Gasoline,,-1.0,-1.0
7004,29081.0,(FFS),4.0,2.6,,Regular,Regular Gasoline,,-1.0,-1.0
7104,29083.0,(FFS),4.0,2.6,,Regular,Regular Gasoline,,-1.0,-1.0
7215,29091.0,(FFS),4.0,2.6,,Regular,Regular Gasoline,,-1.0,-1.0
