vehicle_id,engine_index,engine_descriptor,engine_cylinders,engine_displacement,turbocharger,fuel_type,fuel_type_1,alternative_fuel_technology,ghg_score,ghg_score_alt_fuel
6990,38090.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
6989,38080.0,(FFS),4.0,2.4,,Regular,Regular Gasoline,,-1.0,-1.0
6991,38090.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
7148,38091.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
7147,38081.0,(FFS),4.0,2.4,,Regular,Regular Gasoline,,-1.0,-1.0
7149,38091.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
6811,38031.0,(FFS),6.0,3.0,,Premium,Premium Gasoline,,-1.0,-1.0
6812,38031.0,(FFS),6.0,3.0,,Premium,Premium Gasoline,,-1.0,-1.0
7312,38092.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
7313,38092.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
7364,38093.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
7365,38093.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
6476,38003.0,(FFS),4.0,1.6,,Regular,Regular Gasoline,,-1.0,-1.0
6478,38010.0,(FFS),4.0,1.8,,Regular,Regular Gasoline,,-1.0,-1.0
6477,38003.0,(FFS),4.0,1.6,,Regular,Regular Gasoline,,-1.0,-1.0
6479,38010.0,(FFS),4.0,1.8,,Regular,Regular Gasoline,,-1.0,-1.0
