vehicle_id,city_mpg_ft1,city_electricity_consumption,highway_mpg_ft1,highway_electricity_consumption,unadjusted_city_mpg_ft1,unadjusted_highway_mpg_ft1,combined_mpg_ft1,combined_electricity_consumption,annual_fuel_cost_ft1,save_or_spend_5_year,annual_consumption_in_barrels_ft1,tailpipe_co2_ft1,tailpipe_co2_in_grams_mile_ft1,fuel_economy_score,my_mpg_data
8156,6.37716,0.0,8.502880000000001,0.0,7.652592,11.478888,6.802304,0.0,1870.0,-3612.5,20.600625,-1.0,555.4375,-1.0,N
8160,5.526872,0.0,7.227448000000001,0.0,6.802304,9.778312,5.952016,0.0,2125.0,-4887.5,23.54357143,-1.0,634.7857143,-1.0,N
8162,5.1017280000000005,0.0,7.227448000000001,0.0,6.37716,10.203456,5.952016,0.0,2125.0,-4887.5,23.54357143,-1.0,634.7857143,-1.0,Y
8166,6.37716,0.0,8.502880000000001,0.0,8.030502501600001,11.904032,7.227448000000001,0.0,1912.5,-3825.0,22.48147059,-1.0,598.8235294,-1.0,N
8157,6.37716,0.0,7.652592,0.0,8.077736,10.6286,7.227448000000001,0.0,1742.5,-2975.0,19.38882353,-1.0,522.7647059,-1.0,N
8163,5.1017280000000005,0.0,5.952016,0.0,6.1409499936000005,8.175859235199999,5.526872,0.0,2295.0,-5737.5,25.35461538,-1.0,683.6153846,-1.0,N
8167,7.227448000000001,0.0,8.077736,0.0,8.928024,11.053744,7.227448000000001,0.0,1912.5,-3825.0,22.48147059,-1.0,598.8235294,-1.0,N
8158,6.37716,0.0,8.928024,0.0,8.077736,12.329176,7.227448000000001,0.0,1742.5,-2975.0,19.38882353,-1.0,522.7647059,-1.0,N
8159,6.37716,0.0,8.502880000000001,0.0,8.077736,11.904032,7.227448000000001,0.0,1742.5,-2975.0,19.38882353,-1.0,522.7647059,-1.0,N
8161,5.952016,0.0,7.652592,0.0,7.227448000000001,10.6286,6.37716,0.0,1997.5,-4250.0,21.974,-1.0,592.4666667,-1.0,N
8164,4.676584,0.0,6.802304,0.0,5.6685724952,9.2659709656,5.526872,0.0,2295.0,-5737.5,25.35461538,-1.0,683.6153846,-1.0,N
8165,5.1017280000000005,0.0,7.227448000000001,0.0,6.1409499936000005,9.778312,5.952016,0.0,2125.0,-4887.5,23.54357143,-1.0,634.7857143,-1.0,N
8168,7.227448000000001,0.0,9.353168,0.0,8.928024,13.081340764800002,8.077736,0.0,1742.5,-2975.0,20.115,-1.0,535.7894737,-1.0,N
7540,6.802304,0.0,10.6286,0.0,8.502880000000001,14.88004,8.077736,0.0,1572.5,-2125.0,17.34789474,-1.0,467.7368421,-1.0,Y
7542,6.37716,0.0,9.353168,0.0,8.030502501600001,13.179464,7.652592,0.0,1997.5,-4250.0,18.31166667,-1.0,493.7222222,-1.0,N
7543,6.37716,0.0,10.203456,0.0,8.077736,14.029752,7.652592,0.0,1657.5,-2550.0,18.31166667,-1.0,493.7222222,-1.0,N
7546,6.37716,0.0,9.353168,0.0,7.652592,13.179464,7.227448000000001,0.0,2125.0,-4887.5,19.38882353,-1.0,522.7647059,-1.0,N
7541,6.37716,0.0,10.203456,0.0,8.077736,14.454896000000002,7.652592,0.0,1657.5,-2550.0,18.31166667,-1.0,493.7222222,-1.0,N
7544,6.37716,0.0,10.203456,0.0,7.652592,14.029752,7.652592,0.0,1997.5,-4250.0,18.31166667,-1.0,493.7222222,-1.0,N
7545,6.37716,0.0,10.203456,0.0,8.077736,14.029752,7.652592,0.0,1657.5,-2550.0,18.31166667,-1.0,493.7222222,-1.0,N
8019,6.37716,0.0,10.203456,0.0,8.077736,14.029752,7.652592,0.0,1657.5,-2550.0,18.31166667,-1.0,493.7222222,-1.0,Y
8020,5.526872,0.0,8.077736,0.0,6.37716,11.053744,6.37716,0.0,1997.5,-4250.0,21.974,-1.0,592.4666667,-1.0,N
